Context,Mol_L,Frag_L,Mol_R,Frag_R
[*]c1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1,Oc1ccc(Cl)cc1,CCc1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,CCc1cc(O)ccc1Cl
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,cc(n)-c1cc(C(=O)OC)no1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(N(C)C)nn1,cc(n)-c1cnn(-c2ccc(N(C)C)nn2)c1C
[*]CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,NCc1cccc(Oc2ccccc2)c1,O=C(c1ccncc1)N1CCC2(CCN(Cc3ccccc3OC(F)(F)C(F)F)CC2)CC1,NCc1ccccc1OC(F)(F)C(F)F
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4ccccc4)n3)ccc2c1,cc(n)-c1csc(-c2ccccc2)n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccccn1,cc(n)-c1cnn(-c2ccccn2)c1C
[*]C(=O)NC1CCc2cc(CCN3CCN(c4nsc5ccccc54)CC3)ccc21,O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc54)CC3)ccc21)c1cccnc1,CNC(=O)c1cccnc1,O=C(NC1CCc2cc(CCN3CCN(c4nsc5ccccc54)CC3)ccc21)C1CC1,CNC(=O)C1CC1
[*]CCN1CCN(c2cccc3nc(C)ccc32)CC1,Cc1ccc2c(cccc2N2CCN(CCc3ccc4c(c3)NC(=O)CO4)CC2)n1,CCc1ccc2c(c1)NC(=O)CO2,Cc1nnn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,CCc1cccc2c1OCc1c(C)nnn1-2
[*]c1nnc(SCCCN2CCc3ccc(-c4cc(C)on4)cc3CC2)n1C,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccc(F)c4)n2C)CC3)no1,Cn1cnnc1-c1cccc(F)c1,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(C(F)(F)F)n2C)CC3)no1,Cn1cnnc1C(F)(F)F
[*]CCSc1nnc(-c2cccc3nc(C)ccc32)n1C,Cc1ccc2c(cccc2-c2nnc(SCCCN3C[C@H]4C[C@@]4(c4ccc(Br)cc4)C3)n2C)n1,ccc(cc)C12CC1CN(C)C2,Cc1ccc2c(cccc2-c2nnc(SCCCN3C[C@@H]4C[C@]4(c4ccc(Br)cc4)C3)n2C)n1,ccc(cc)C12CC1CN(C)C2
[*]c1cccc(NC(=O)N2CCN(C[C@@H]3CCCN(C4CC4)C3)CC2)c1,O=C(Nc1cccc(Cl)c1)N1CCN(C[C@@H]2CCCN(C3CC3)C2)CC1,ccc(Cl)cc,O=C(Nc1cccc(C(F)(F)F)c1)N1CCN(C[C@@H]2CCCN(C3CC3)C2)CC1,ccc(cc)C(F)(F)F
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,CCOc1ccc(-n2ncc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)c2C)nn1,cc(n)-c1cnn(-c2ccc(OCC)nn2)c1C,Cc1cc2ncc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)c(C)n2n1,cc(n)-c1cnc2cc(C)nn2c1C
