Context,Mol_L,Frag_L,Mol_R,Frag_R
[*]C(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)c1ccc(F)cc1,CNC(=O)c1ccc(F)cc1,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)C(F)(F)F,CNC(=O)C(F)(F)F
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,CCOC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,cc(n)-c1cc(C(=O)OCC)no1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cccs3)ccc2c1,cc(n)-c1cccs1
[*]C12CC1CN(CCCSc1nnc(-c3ocnc3C)n1C)C2,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3)C2)n1C,CC1(c2ccc(C(F)(F)F)cc2)CC1,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(OC(F)(F)F)c3)C2)n1C,CC1(c2cccc(OC(F)(F)F)c2)CC1
[*]C(=O)N1CCC(CCN2C3CCC2CC(n2c(C)nc4ccccc42)C3)(c2cccc(F)c2)CC1,Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2cccc(F)c2)CCN(C(=O)c2ccc(NS(C)(=O)=O)cc2Cl)CC1,Cc1ccc(NS(C)(=O)=O)cc1,CNS(=O)(=O)c1cc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3cccc(F)c3)CC2)c(Cl)cc1F,CNS(=O)(=O)c1cc(C)ccc1F
[*]CCN1CCN(c2cccc(Cl)c2)C1=O,O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(Cl)c1,FC(F)(F)C1CCNCC1,CC(C)N1CCN(CCN2CCN(c3cccc(Cl)c3)C2=O)CC1,CC(C)N1CCNCC1
[*]C1(O)CCC(N2CC(NC(=O)CNC(=O)c3cccc(C(F)(F)F)c3)C2)CC1,COc1ccc([C@@]2(O)CC[C@H](N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cc1,[C]c1ccc(OC)cc1,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@](O)(c3cccnc3)CC2)C1,[C]c1cccnc1
[*]N1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,C1CNCCN1,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CN1CCNCC1
[*]CCOc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCCC(C)(C)C(=O)O)c1,CC(C)(CCCO)C(=O)O,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC[C@](C)(OC)C(=O)O)c1,COC(C)(CCO)C(=O)O
[*]n1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](C(=O)OCC)CC3)C2)c2cc(C(F)(F)F)ccc21,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(CC)c4ccc(C(F)(F)F)cc43)C2)CC1,cc1ccnn1CC,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C(N)=O)c4ccc(C(F)(F)F)cc43)C2)CC1,cc1ccnn1C(N)=O
[*]CN1CCC2(CC1)CCN(C(=O)c1ccc(N)cn1)CC2,CC1(C)CCc2cc(CN3CCC4(CC3)CCN(C(=O)c3ccc(N)cn3)CC4)ccc2O1,CC1(C)CCc2cc(CN)ccc2O1,CC1(C)Cc2c(cccc2CN2CCC3(CC2)CCN(C(=O)c2ccc(N)cn2)CC3)O1,CC1(C)Cc2c(cccc2CN)O1
[*]C1=CC2(CCNCC2)Oc2ccccc21,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,CCN(CC)C(=O)c1ccc(C)cc1,CCN1CCc2cc(C3=CC4(CCNCC4)Oc4ccccc43)ccc2C1=O,CCN1CCc2cc(C)ccc2C1=O
[*]c1nnc(SCCCN2CCc3ccc(-c4cc(C)on4)cc3CC2)n1C,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccs4)n2C)CC3)no1,Cn1cnnc1-c1cccs1,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(C4CCOCC4)n2C)CC3)no1,Cn1cnnc1C1CCOCC1
[*]C(=O)N1CC[C@@H](NCc2cncn2Cc2ccc(C#N)cc2)C1=O,N#Cc1ccc(Cn2cncc2CN[C@@H]2CCN(C(=O)c3cccc(Cl)c3)C2=O)cc1,NC(=O)c1cccc(Cl)c1,Cc1ncccc1C(=O)N1CC[C@@H](NCc2cncn2Cc2ccc(C#N)cc2)C1=O,Cc1ncccc1C(N)=O
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(N(C)C)nn1,ccc(nc)-c1cnn(-c2ccc(N(C)C)nn2)c1C,C[C@@H]1CCCN1CCc1ccc2nc(C3CC3)ccc2c1,ccc(nc)C1CC1
[*]CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc4c3OCC4)CC2)CC1,Cc1cccc2c1OCC2,CC(C)COc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,Cc1ccccc1OCC(C)C
[*]CCCOc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1F,O=C(NC1CCN(Cc2ccc(OCCCN3C(=O)CSC3=O)c(F)c2)CC1)c1cc(=O)c2ccc(F)cc2o1,CCN1C(=O)CSC1=O,O=C(NC1CCN(Cc2ccc(OCCCN3CCCCC3)c(F)c2)CC1)c1cc(=O)c2ccc(F)cc2o1,CCN1CCCCC1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(N(C)C)nn1,cc(n)-c1cnn(-c2ccc(N(C)C)nn2)c1C,Cc1nc(C)c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)s1,cc(n)-c1sc(C)nc1C
