Context,Mol_L,Frag_L,Mol_R,Frag_R,Radius
[*]c1c(C(C)(C)C)cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C,CC(C)(C)c1cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc(C(C)(C)C)c1,[cH2][cH][cH2],COc1c(C(C)(C)C)cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C,[cH2][c]([cH2])[O][CH3],1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1ccc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cn1,[cH2][cH][c]([n][cH2])-[c]1[cH][cH][c]([CH3])[n][cH]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cnccn3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][n][cH][cH][n]1,4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1ccc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cn1,[cH2][c]([nH])-[c]1[cH][cH][c]([CH3])[n][cH]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cnccn3)ccc2c1,[cH2][c]([nH])-[c]1[cH][n][cH][cH][n]1,3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1ccc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cn1,[cH3]-[c]1[cH][cH][c]([CH3])[n][cH]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cnccn3)ccc2c1,[cH3]-[c]1[cH][n][cH][cH][n]1,2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1ccc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cn1,[cH2][cH][cH][c]([CH3])[nH],C[C@@H]1CCCN1CCc1ccc2nc(-c3cnccn3)ccc2c1,[cH2][n][cH][cH][nH],1
[*]N1CCC2(C=C(c3ccc(C(=O)N(CC)CC)cc3)c3ccccc3O2)CC1,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,[CH3][C]1([OH])[CH2][CH2][NH][CH2][CH2]1,CCN(CC)C(=O)c1ccc(C2=CC3(CCN(CC)CC3)Oc3ccccc32)cc1,[CH3][CH2][N]1[CH2][CH2][C]([CH3])([OH])[CH2][CH2]1,4
[*]N1CCC2(C=C(c3ccc(C(=O)N(CC)CC)cc3)c3ccccc3O2)CC1,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,[CH2]1[CH2][CH2][NH][CH2][CH2]1,CCN(CC)C(=O)c1ccc(C2=CC3(CCN(CC)CC3)Oc3ccccc32)cc1,[CH3][CH2][N]1[CH2][CH2][CH2][CH2][CH2]1,3
[*]N1CCC2(C=C(c3ccc(C(=O)N(CC)CC)cc3)c3ccccc3O2)CC1,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,[CH3][CH2][NH][CH2][CH3],CCN(CC)C(=O)c1ccc(C2=CC3(CCN(CC)CC3)Oc3ccccc32)cc1,[CH3][CH2][N]([CH2][CH3])[CH2][CH3],2
[*]N1CCC2(C=C(c3ccc(C(=O)N(CC)CC)cc3)c3ccccc3O2)CC1,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,[CH3][NH][CH3],CCN(CC)C(=O)c1ccc(C2=CC3(CCN(CC)CC3)Oc3ccccc32)cc1,[CH3][CH2][N]([CH3])[CH3],1
[*]CCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,CCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,[CH3][CH2][CH2][NH][SH],COCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,[CH3][O][CH2][CH2][NH][SH],4
[*]CCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,CCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,[CH3][CH2][CH2][NH2],COCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,[CH3][O][CH2][CH2][NH2],3
[*]CCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,CCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,[CH3][CH2][CH3],COCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,[CH3][CH2][O][CH3],2
[*]CCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,CCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,[CH3][CH3],COCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,[CH3][O][CH3],1
[*]C1CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,Cc1ccc([C@H]2CC[C@@H](N3CC(NC(=O)CNc4nn(C)c5ccc(C(F)(F)F)cc54)C3)CC2)cn1,[CH3][C]([CH3])[c]1[cH][cH][c]([CH3])[n][cH]1,Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](c4ccc5c(c4)OCO5)CC3)C2)c2cc(C(F)(F)F)ccc21,[CH3][C]([CH3])[c]1[cH][cH][c]2[c]([cH]1)[O][CH2][O]2,4
[*]C1CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,Cc1ccc([C@H]2CC[C@@H](N3CC(NC(=O)CNc4nn(C)c5ccc(C(F)(F)F)cc54)C3)CC2)cn1,[C][c]1[cH][cH][c]([CH3])[n][cH]1,Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](c4ccc5c(c4)OCO5)CC3)C2)c2cc(C(F)(F)F)ccc21,[C][c]1[cH][cH][c]2[c]([cH]1)[O][CH2][O]2,3
[*]C1CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,Cc1ccc([C@H]2CC[C@@H](N3CC(NC(=O)CNc4nn(C)c5ccc(C(F)(F)F)cc54)C3)CC2)cn1,[cH2][cH][n][c]([cH2])[CH3],Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](c4ccc5c(c4)OCO5)CC3)C2)c2cc(C(F)(F)F)ccc21,[cH2][cH][c]1[c]([cH2])[O][CH2][O]1,2
[*]C1CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,Cc1ccc([C@H]2CC[C@@H](N3CC(NC(=O)CNc4nn(C)c5ccc(C(F)(F)F)cc54)C3)CC2)cn1,[cH2][n][cH][CH3],Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](c4ccc5c(c4)OCO5)CC3)C2)c2cc(C(F)(F)F)ccc21,[cH2][c]1[cH][O][CH2][O]1,1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[cH2][cH][c]([n][cH2])-[c]1[cH][c]([C](=[O])[O][CH3])[n][o]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cnccn3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][n][cH][cH][n]1,4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[cH2][c]([nH])-[c]1[cH][c]([C](=[O])[O][CH3])[n][o]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cnccn3)ccc2c1,[cH2][c]([nH])-[c]1[cH][n][cH][cH][n]1,3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[CH3][O][C](=[O])[c]1[cH][c](-[cH3])[o][n]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cnccn3)ccc2c1,[cH3]-[c]1[cH][n][cH][cH][n]1,2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[CH3][O][C](=[O])[c]1[cH][cH][o][n]1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cnccn3)ccc2c1,[cH]1[cH][n][cH][cH][n]1,1
[*]c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(OC(F)(F)F)cc54)CC3)nc2N1,[NH2][c]1[cH][cH][cH][c]([O][C]([F])([F])[F])[cH]1,CC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,[CH3][C](=[O])[c]1[cH][cH][cH][c]([NH2])[cH]1,4
[*]c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(OC(F)(F)F)cc54)CC3)nc2N1,[cH2][cH][c]([cH][cH2])[O][C]([F])([F])[F],CC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,[cH2][cH][c]([cH][cH2])[C]([CH3])=[O],3
[*]c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(OC(F)(F)F)cc54)CC3)nc2N1,[cH2][c]([cH2])[O][C]([F])([F])[F],CC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,[cH2][c]([cH2])[C]([CH3])=[O],2
[*]c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(OC(F)(F)F)cc54)CC3)nc2N1,[cH3][O][C]([F])([F])[F],CC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,[CH3][C]([cH3])=[O],1
[*]COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OC[C@H]2C[C@@H]2C(=O)OCC(=O)N(C)C)c1,[H][C@]1([CH2][O][c]([cH2])[cH2])[CH2][C@]1([H])[C](=[O])[O][CH2][C](=[O])[N]([CH3])[CH3],COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2(Cc3nn[nH]n3)CC2)c1,[cH2][c]([cH2])[O][CH2][C]1([CH2][c]2[n][n][nH][n]2)[CH2][CH2]1,4
[*]COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OC[C@H]2C[C@@H]2C(=O)OCC(=O)N(C)C)c1,[H][C@]1([CH2][O][cH3])[CH2][C@]1([H])[C](=[O])[O][CH2][C](=[O])[N]([CH3])[CH3],COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2(Cc3nn[nH]n3)CC2)c1,[cH3][O][CH2][C]1([CH2][c]2[n][n][nH][n]2)[CH2][CH2]1,3
[*]COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OC[C@H]2C[C@@H]2C(=O)OCC(=O)N(C)C)c1,[H][C@]1([CH2][OH])[CH2][C@]1([H])[C](=[O])[O][CH2][C](=[O])[N]([CH3])[CH3],COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2(Cc3nn[nH]n3)CC2)c1,[OH][CH2][C]1([CH2][c]2[n][n][nH][n]2)[CH2][CH2]1,2
[*]COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OC[C@H]2C[C@@H]2C(=O)OCC(=O)N(C)C)c1,[H][C@]1([CH3])[CH2][C@]1([H])[C](=[O])[O][CH2][C](=[O])[N]([CH3])[CH3],COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2(Cc3nn[nH]n3)CC2)c1,[CH3][C]1([CH2][c]2[n][n][nH][n]2)[CH2][CH2]1,1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(Cl)c(Cl)c1,[cH2][cH][c]([n][cH2])-[c]1[cH][n][n](-[c]2[cH][cH][c]([Cl])[c]([Cl])[cH]2)[c]1[CH3],Cc1onc(-c2ccccc2)c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,[cH2][cH][c]([n][cH2])-[c]1[c](-[c]2[cH][cH][cH][cH][cH]2)[n][o][c]1[CH3],4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(Cl)c(Cl)c1,[cH2][c]([nH])-[c]1[cH][n][n](-[c]2[cH][cH][c]([Cl])[c]([Cl])[cH]2)[c]1[CH3],Cc1onc(-c2ccccc2)c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,[cH2][c]([nH])-[c]1[c](-[c]2[cH][cH][cH][cH][cH]2)[n][o][c]1[CH3],3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(Cl)c(Cl)c1,[cH3]-[c]1[cH][n][n](-[c]2[cH][cH][c]([Cl])[c]([Cl])[cH]2)[c]1[CH3],Cc1onc(-c2ccccc2)c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,[CH3][c]1[o][n][c](-[c]2[cH][cH][cH][cH][cH]2)[c]1-[cH3],2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(Cl)c(Cl)c1,[CH3][c]1[cH][cH][n][n]1-[c]1[cH][cH][c]([Cl])[c]([Cl])[cH]1,Cc1onc(-c2ccccc2)c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,[CH3][c]1[cH][c](-[c]2[cH][cH][cH][cH][cH]2)[n][o]1,1
[*]C1CN(c2nc3c(CC)nn(CCOCC(F)(F)F)c3c(Nc3ccncn3)n2)CCN1,CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCNCC1)nc2Nc1ccncn1,[nH][c]([nH])[N]1[CH2][CH2][NH][CH2][CH2]1,CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCN[C@H](C)C1)nc2Nc1ccncn1,[H][C@@]1([CH3])[CH2][N]([c]([nH])[nH])[CH2][CH2][NH]1,4
[*]C1CN(c2nc3c(CC)nn(CCOCC(F)(F)F)c3c(Nc3ccncn3)n2)CCN1,CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCNCC1)nc2Nc1ccncn1,[cH3][N]1[CH2][CH2][NH][CH2][CH2]1,CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCN[C@H](C)C1)nc2Nc1ccncn1,[H][C@@]1([CH3])[CH2][N]([cH3])[CH2][CH2][NH]1,3
[*]C1CN(c2nc3c(CC)nn(CCOCC(F)(F)F)c3c(Nc3ccncn3)n2)CCN1,CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCNCC1)nc2Nc1ccncn1,[CH3][NH][CH2][CH2][NH2],CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCN[C@H](C)C1)nc2Nc1ccncn1,[H][C@@]([CH3])([CH2][NH2])[NH][CH3],2
[*]C1CN(c2nc3c(CC)nn(CCOCC(F)(F)F)c3c(Nc3ccncn3)n2)CCN1,CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCNCC1)nc2Nc1ccncn1,[CH3][CH2][NH2],CCc1nn(CCOCC(F)(F)F)c2c1nc(N1CCN[C@H](C)C1)nc2Nc1ccncn1,[H][C]([CH3])([CH3])[NH2],1
[*]NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,[cH2][cH][c]1[c]([cH2])[CH2][CH2][CH]1[NH2],O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)c1cccnc1,[cH2][cH][c]1[c]([cH2])[CH2][CH2][CH]1[NH][C](=[O])[c]1[cH][cH][cH][n][cH]1,4
[*]NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,[cH2][c]1[cH][CH2][CH2][CH]1[NH2],O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)c1cccnc1,[cH2][c]1[cH][CH2][CH2][CH]1[NH][C](=[O])[c]1[cH][cH][cH][n][cH]1,3
[*]NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,[CH3][CH]([cH3])[NH2],O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)c1cccnc1,[CH3][CH]([cH3])[NH][C](=[O])[c]1[cH][cH][cH][n][cH]1,2
[*]NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,[CH3][NH2],O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)c1cccnc1,[CH3][NH][C](=[O])[c]1[cH][cH][cH][n][cH]1,1
[*]CCCSc1nnc(-c2ocnc2C)n1C,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4c3cccc4Br)C2)n1C,[CH3][C]1([CH3])[CH2][CH2][c]2[c]([Br])[cH][cH][cH][c]21,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4ccc(Br)cc43)C2)n1C,[CH3][C]1([CH3])[CH2][CH2][c]2[cH][cH][c]([Br])[cH][c]21,4
[*]CCCSc1nnc(-c2ocnc2C)n1C,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4c3cccc4Br)C2)n1C,[Br][c]1[cH][cH][cH][c]2[c]1[CH2][CH2][CH2]2,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4ccc(Br)cc43)C2)n1C,[Br][c]1[cH][cH][c]2[c]([cH]1)[CH2][CH2][CH2]2,3
[*]CCCSc1nnc(-c2ocnc2C)n1C,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4c3cccc4Br)C2)n1C,[CH3][c]1[cH][cH][cH][cH][c]1[Br],Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4ccc(Br)cc43)C2)n1C,[CH3][c]1[cH][cH][c]([Br])[cH][cH]1,2
[*]CCCSc1nnc(-c2ocnc2C)n1C,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4c3cccc4Br)C2)n1C,[cH2][cH][cH][c]([cH2])[Br],Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4ccc(Br)cc43)C2)n1C,[cH2][cH][cH][c]([cH2])[Br],1
[*]c1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1,[cH3][O][c]1[cH][cH][c]([Cl])[cH][cH]1,CCc1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,[CH3][CH2][c]1[cH][c]([O][cH3])[cH][cH][c]1[Cl],4
[*]c1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1,[OH][c]1[cH][cH][c]([Cl])[cH][cH]1,CCc1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,[CH3][CH2][c]1[cH][c]([OH])[cH][cH][c]1[Cl],3
[*]c1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1,[cH2][cH][cH][c]([cH2])[Cl],CCc1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,[cH2][cH][c]([CH2][CH3])[c]([cH2])[Cl],2
[*]c1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1,[cH2][cH][cH2],CCc1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,[cH2][c]([cH2])[CH2][CH3],1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[cH2][cH][c]([n][cH2])-[c]1[cH][c]([C](=[O])[O][CH3])[n][o]1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(N(C)C)nn1,[cH2][cH][c]([n][cH2])-[c]1[cH][n][n](-[c]2[cH][cH][c]([N]([CH3])[CH3])[n][n]2)[c]1[CH3],4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[cH2][c]([nH])-[c]1[cH][c]([C](=[O])[O][CH3])[n][o]1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(N(C)C)nn1,[cH2][c]([nH])-[c]1[cH][n][n](-[c]2[cH][cH][c]([N]([CH3])[CH3])[n][n]2)[c]1[CH3],3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[CH3][O][C](=[O])[c]1[cH][c](-[cH3])[o][n]1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(N(C)C)nn1,[cH3]-[c]1[cH][n][n](-[c]2[cH][cH][c]([N]([CH3])[CH3])[n][n]2)[c]1[CH3],2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,COC(=O)c1cc(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)on1,[CH3][O][C](=[O])[c]1[cH][cH][o][n]1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccc(N(C)C)nn1,[CH3][c]1[cH][cH][n][n]1-[c]1[cH][cH][c]([N]([CH3])[CH3])[n][n]1,1
[*]CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,[CH3][N]([CH3])[CH2][c]1[cH][cH][cH][c]([O][c]2[cH][cH][cH][cH][cH]2)[cH]1,O=C(c1ccncc1)N1CCC2(CCN(Cc3ccccc3OC(F)(F)C(F)F)CC2)CC1,[CH3][N]([CH3])[CH2][c]1[cH][cH][cH][cH][c]1[O][C]([F])([F])[CH]([F])[F],4
[*]CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,[NH2][CH2][c]1[cH][cH][cH][c]([O][c]2[cH][cH][cH][cH][cH]2)[cH]1,O=C(c1ccncc1)N1CCC2(CCN(Cc3ccccc3OC(F)(F)C(F)F)CC2)CC1,[NH2][CH2][c]1[cH][cH][cH][cH][c]1[O][C]([F])([F])[CH]([F])[F],3
[*]CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,[CH3][c]1[cH][cH][cH][c]([O][c]2[cH][cH][cH][cH][cH]2)[cH]1,O=C(c1ccncc1)N1CCC2(CCN(Cc3ccccc3OC(F)(F)C(F)F)CC2)CC1,[CH3][c]1[cH][cH][cH][cH][c]1[O][C]([F])([F])[CH]([F])[F],2
[*]CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,[cH2][cH][c]([cH2])[O][c]1[cH][cH][cH][cH][cH]1,O=C(c1ccncc1)N1CCC2(CCN(Cc3ccccc3OC(F)(F)C(F)F)CC2)CC1,[cH2][cH][c]([cH2])[O][C]([F])([F])[CH]([F])[F],1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4ccccc4)n3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][s][c](-[c]2[cH][cH][cH][cH][cH]2)[n]1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccccn1,[cH2][cH][c]([n][cH2])-[c]1[cH][n][n](-[c]2[cH][cH][cH][cH][n]2)[c]1[CH3],4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4ccccc4)n3)ccc2c1,[cH2][c]([nH])-[c]1[cH][s][c](-[c]2[cH][cH][cH][cH][cH]2)[n]1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccccn1,[cH2][c]([nH])-[c]1[cH][n][n](-[c]2[cH][cH][cH][cH][n]2)[c]1[CH3],3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4ccccc4)n3)ccc2c1,[cH2][cH][cH][c]([cH2])-[c]1[n][c](-[cH3])[cH][s]1,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccccn1,[cH2][cH][n][c]([cH2])-[n]1[n][cH][c](-[cH3])[c]1[CH3],2
