Context,Mol_L,Frag_L,Mol_R,Frag_R,Radius
[*]C(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,Cc1ccc(C(=O)NC2CCc3ccc(CCN4CCN(c5nsc6ccccc65)CC4)cc32)cc1,[CH3][c]1[cH][cH][cH][cH][cH]1,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)c1cccnc1,[cH]1[cH][cH][n][cH][cH]1,2
[*]C(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21,Cc1ccc(C(=O)NC2CCc3ccc(CCN4CCN(c5nsc6ccccc65)CC4)cc32)cc1,[cH2][cH][c]([cH2])[CH3],O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)c1cccnc1,[cH2][cH][n][cH2],1
[*]C(=O)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,COc1ccc(OC2CN(C(=O)NC3CCN(Cc4ccn(-c5ccc(C(F)(F)F)cc5)c4)CC3)C2)cc1,[CH3][NH][C](=[O])[N]1[CH2][CH]([O][c]2[cH][cH][c]([O][CH3])[cH][cH]2)[CH2]1,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCn2cccc2C1c1ccccc1,[CH3][NH][C](=[O])[N]1[CH2][CH2][n]2[cH][cH][cH][c]2[CH]1[c]1[cH][cH][cH][cH][cH]1,4
[*]C(=O)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,COc1ccc(OC2CN(C(=O)NC3CCN(Cc4ccn(-c5ccc(C(F)(F)F)cc5)c4)CC3)C2)cc1,[CH3][O][c]1[cH][cH][c]([O][CH]2[CH2][N]([C]([NH2])=[O])[CH2]2)[cH][cH]1,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCn2cccc2C1c1ccccc1,[NH2][C](=[O])[N]1[CH2][CH2][n]2[cH][cH][cH][c]2[CH]1[c]1[cH][cH][cH][cH][cH]1,3
[*]C(=O)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,COc1ccc(OC2CN(C(=O)NC3CCN(Cc4ccn(-c5ccc(C(F)(F)F)cc5)c4)CC3)C2)cc1,[CH3][O][c]1[cH][cH][c]([O][CH]2[CH2][N]([CH3])[CH2]2)[cH][cH]1,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCn2cccc2C1c1ccccc1,[CH3][N]1[CH2][CH2][n]2[cH][cH][cH][c]2[CH]1[c]1[cH][cH][cH][cH][cH]1,2
[*]C(=O)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,COc1ccc(OC2CN(C(=O)NC3CCN(Cc4ccn(-c5ccc(C(F)(F)F)cc5)c4)CC3)C2)cc1,[CH3][O][c]1[cH][cH][c]([O][CH]2[CH2][NH][CH2]2)[cH][cH]1,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCn2cccc2C1c1ccccc1,[cH]1[cH][cH][c]([CH]2[NH][CH2][CH2][n]3[cH][cH][cH][c]32)[cH][cH]1,1
[*]CCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,N#Cc1nc(CCCNCC(N)=O)cc(-c2cccc(C(F)(F)F)c2)n1,[cH2][c]([nH])[CH2][CH2][CH2][NH][CH2][C]([NH2])=[O],CCC(CC)NC(=O)CCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,[cH2][c]([nH])[CH2][CH2][C](=[O])[NH][CH]([CH2][CH3])[CH2][CH3],4
[*]CCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,N#Cc1nc(CCCNCC(N)=O)cc(-c2cccc(C(F)(F)F)c2)n1,[cH3][CH2][CH2][CH2][NH][CH2][C]([NH2])=[O],CCC(CC)NC(=O)CCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,[cH3][CH2][CH2][C](=[O])[NH][CH]([CH2][CH3])[CH2][CH3],3
[*]CCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,N#Cc1nc(CCCNCC(N)=O)cc(-c2cccc(C(F)(F)F)c2)n1,[CH3][CH2][CH2][NH][CH2][C]([NH2])=[O],CCC(CC)NC(=O)CCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,[CH3][CH2][C](=[O])[NH][CH]([CH2][CH3])[CH2][CH3],2
[*]CCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,N#Cc1nc(CCCNCC(N)=O)cc(-c2cccc(C(F)(F)F)c2)n1,[CH3][CH2][NH][CH2][C]([NH2])=[O],CCC(CC)NC(=O)CCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,[CH3][CH2][CH]([CH2][CH3])[NH][C]([CH3])=[O],1
